SL,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
1,Mcdonalds,Artisan Grilled Chicken Sandwich,380,60.0,7.0,2.0,1.315934065934066,95.0,1110,44.0,3.0,11.0,37.0,4.0,20.0,20.0,Other
2,Mcdonalds,Single Bacon Smokehouse Burger,840,410.0,45.0,17.0,1.5,130.0,1580,62.0,2.0,18.0,46.0,6.0,20.0,20.0,Other
3,Mcdonalds,Double Bacon Smokehouse Burger,1130,600.0,67.0,27.0,3.0,220.0,1920,63.0,3.0,18.0,70.0,10.0,20.0,50.0,Other
4,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280.0,31.0,10.0,0.5,155.0,1940,62.0,2.0,18.0,55.0,6.0,25.0,20.0,Other
5,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410.0,45.0,12.0,0.5,120.0,1980,81.0,4.0,18.0,46.0,6.0,20.0,20.0,Other
6,Mcdonalds,Big Mac,540,250.0,28.0,10.0,1.0,80.0,950,46.0,3.0,9.0,25.0,10.0,2.0,15.0,Other
7,Mcdonalds,Cheeseburger,300,100.0,12.0,5.0,0.5,40.0,680,33.0,2.0,7.0,15.0,10.0,2.0,10.0,Other
8,Mcdonalds,Classic Chicken Sandwich,510,210.0,24.0,4.0,1.315934065934066,65.0,1040,49.0,3.0,6.0,25.0,20.232142857142858,4.0,2.0,Other
9,Mcdonalds,Double Cheeseburger,430,190.0,21.0,11.0,1.0,85.0,1040,35.0,2.0,7.0,25.0,20.0,4.0,15.0,Other
10,Mcdonalds,Double Quarter Pounder® with Cheese,770,400.0,45.0,21.0,2.5,175.0,1290,42.0,3.0,10.0,51.0,20.0,6.0,20.0,Other
11,Mcdonalds,Filet-O-Fish®,380,170.0,18.0,4.0,1.315934065934066,40.0,640,38.0,2.0,5.0,15.0,2.0,21.37408082034676,15.0,Other
12,Mcdonalds,Garlic White Cheddar Burger,620,300.0,34.0,13.0,1.5,95.0,790,48.0,3.0,11.0,32.0,10.0,10.0,35.0,Other
13,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180.0,20.0,7.0,1.315934065934066,125.0,1150,48.0,3.0,11.0,42.0,10.0,20.0,35.0,Other
14,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300.0,34.0,9.0,1.315934065934066,85.0,1190,67.0,5.0,11.0,33.0,10.0,15.0,35.0,Other
15,Mcdonalds,Hamburger,250,70.0,8.0,3.0,1.315934065934066,30.0,480,31.0,2.0,6.0,13.0,2.0,2.0,4.0,Other
16,Mcdonalds,Lobster Roll,290,50.0,5.0,1.5,1.315934065934066,65.0,630,35.0,2.0,3.0,24.0,4.0,6.0,15.0,Other
17,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330.0,36.0,14.0,1.5,110.0,1260,40.0,3.0,10.0,37.0,6.0,15.0,15.0,Other
18,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190.0,21.0,8.0,1.315934065934066,135.0,1890,50.0,3.0,14.0,48.0,4.0,30.0,30.0,Other
19,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310.0,35.0,9.0,0.5,95.0,1780,69.0,5.0,14.0,39.0,4.0,20.0,290.0,Other
20,Mcdonalds,McChicken,350,130.0,15.0,3.5,1.315934065934066,40.0,600,40.0,2.0,5.0,15.0,2.0,2.0,4.0,Other
21,Mcdonalds,McDouble,380,160.0,18.0,8.0,1.0,70.0,840,34.0,2.0,7.0,23.0,10.0,2.0,10.0,Other
22,Mcdonalds,McRib,480,200.0,22.0,7.0,1.315934065934066,80.0,870,45.0,2.0,12.0,25.0,2.0,2.0,6.0,Other
23,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300.0,33.0,12.0,1.5,95.0,920,41.0,4.0,7.0,29.0,8.0,15.0,15.0,Other
24,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160.0,18.0,6.0,1.315934065934066,115.0,1540,50.0,4.0,12.0,40.0,8.0,25.0,30.0,Other
25,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280.0,32.0,7.0,1.315934065934066,80.0,1430,69.0,6.0,12.0,31.0,8.0,15.0,30.0,Other
26,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200.0,23.0,5.0,1.315934065934066,60.0,1050,64.0,4.0,11.0,28.0,4.0,10.0,20.0,Other
27,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200.0,22.0,4.0,1.315934065934066,45.0,1000,59.0,3.0,13.0,25.0,6.0,10.0,20.0,Other
28,Mcdonalds,Quarter Pounder® with Cheese,530,240.0,27.0,13.0,1.5,100.0,1090,41.0,3.0,10.0,31.0,20.0,6.0,15.0,Other
29,Mcdonalds,Signature Sriracha Burger,670,320.0,35.0,12.0,1.5,95.0,1010,56.0,4.0,13.0,32.0,20.0,15.0,30.0,Other
30,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180.0,20.0,5.0,1.315934065934066,115.0,1550,56.0,4.0,14.0,41.0,20.0,25.0,30.0,Other
31,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300.0,33.0,7.0,1.315934065934066,80.0,1430,75.0,5.0,13.0,32.0,20.0,20.0,30.0,Other
32,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340.0,37.0,14.0,1.5,110.0,1310,51.0,3.0,14.0,38.0,6.0,15.0,15.0,Other
33,Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200.0,22.0,7.0,1.315934065934066,135.0,1930,61.0,4.0,18.0,48.0,4.0,30.0,25.0,Other
34,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320.0,36.0,9.0,0.5,95.0,1820,80.0,5.0,18.0,39.0,4.0,20.0,30.0,Other
35,Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,190.0,21.0,3.5,1.315934065934066,70.0,910,16.0,4.238289205702648,7.6482617586912065,28.0,20.232142857142858,21.37408082034676,2.0,Other
36,Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,250.0,28.0,4.5,1.315934065934066,95.0,1290,21.0,4.238289205702648,1.0,38.0,20.232142857142858,21.37408082034676,2.0,Other
37,Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,390.0,44.0,8.0,0.5,145.0,1890,32.0,1.0,1.0,58.0,20.232142857142858,21.37408082034676,2.0,Other
38,Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,630.0,70.0,12.0,1.0,240.0,3230,52.0,1.0,4.0,94.0,20.232142857142858,21.37408082034676,4.0,Other
39,Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,790.0,88.0,15.0,1.0,295.0,3770,64.0,1.0,2.0,115.0,20.232142857142858,2.0,6.0,Other
40,Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,1270.0,141.0,24.0,2.0,475.0,6080,103.0,2.0,3.0,186.0,20.232142857142858,2.0,8.0,Other
41,Mcdonalds,4 Piece Chicken McNuggets,180,100.0,11.0,2.0,1.315934065934066,30.0,340,11.0,1.0,7.6482617586912065,10.0,20.232142857142858,2.0,25.096110575377693,Other
42,Mcdonalds,6 Piece Chicken McNuggets,270,140.0,16.0,2.5,1.315934065934066,45.0,510,16.0,1.0,7.6482617586912065,15.0,20.232142857142858,2.0,25.096110575377693,Other
43,Mcdonalds,10 Piece Chicken McNuggets,440,240.0,27.0,4.5,1.315934065934066,75.0,840,26.0,2.0,7.6482617586912065,24.0,20.232142857142858,4.0,2.0,Other
44,Mcdonalds,20 Piece Chicken McNuggets,890,480.0,53.0,9.0,1.315934065934066,145.0,1680,53.0,4.0,7.6482617586912065,49.0,20.232142857142858,8.0,4.0,Other
45,Mcdonalds,40 piece Chicken McNuggets,1770,960.0,107.0,18.0,0.5,295.0,3370,105.0,7.0,1.0,98.0,20.232142857142858,15.0,6.0,Other
46,Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,240.0,27.0,4.0,1.315934065934066,105.0,1780,63.0,2.0,35.0,39.0,4.0,15.0,4.0,Other
47,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,360.0,40.0,6.0,1.315934065934066,160.0,2670,94.0,3.0,52.0,58.0,4.0,25.0,8.0,Other
48,Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,600.0,66.0,10.0,1.315934065934066,265.0,4450,156.0,5.0,87.0,97.0,8.0,40.0,10.0,Other
49,Mcdonalds,Premium Asian Salad w/o Chicken,140,70.0,7.0,0.5,1.315934065934066,74.18489065606362,20,13.0,5.0,7.0,7.0,180.0,45.0,10.0,Other
50,Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,80.0,9.0,1.0,1.315934065934066,80.0,740,18.0,5.0,10.0,31.0,180.0,70.0,10.0,Other
51,Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,250.0,28.0,8.0,1.315934065934066,95.0,1120,28.0,4.0,4.0,33.0,180.0,60.0,15.0,Other
52,Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,110.0,12.0,5.0,1.315934065934066,40.0,660,9.0,3.0,3.0,14.0,180.0,50.0,15.0,Other
53,Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,120.0,14.0,6.0,1.315934065934066,45.0,1230,9.0,3.0,4.0,42.0,180.0,60.0,15.0,Other
